"long","lat","order","grid","resolution"
-1.44804049617817,60.9514210250262,1,"HP33",10
-1.44648148447344,61.0411933329641,2,"HP33",10
-1.26137013104913,61.0403079489885,3,"HP33",10
-1.26345065820679,60.9505388907065,4,"HP33",10
-1.44804049617817,60.9514210250262,5,"HP33",10
-1.44648148447344,61.0411933329641,1,"HP34",10
-1.44491227295363,61.1309644158154,2,"HP34",10
-1.25927599300664,61.1300757637715,3,"HP34",10
-1.26137013104913,61.0403079489885,4,"HP34",10
-1.44648148447344,61.0411933329641,5,"HP34",10
-1.44491227295363,61.1309644158154,1,"HP35",10
-1.44333276688734,61.2207342757753,2,"HP35",10
-1.25716811767879,61.2198423370772,3,"HP35",10
-1.25927599300664,61.1300757637715,4,"HP35",10
-1.44491227295363,61.1309644158154,5,"HP35",10
-1.44333276688734,61.2207342757753,1,"HP36",10
-1.44174287035715,61.3105029150478,2,"HP36",10
-1.25504637708277,61.3096076709341,3,"HP36",10
-1.25716811767879,61.2198423370772,4,"HP36",10
-1.44333276688734,61.2207342757753,5,"HP36",10
-1.44174287035715,61.3105029150478,1,"HP37",10
-1.44014248624105,61.4002703358457,2,"HP37",10
-1.25291064162862,61.399371767377,3,"HP37",10
-1.25504637708277,61.3096076709341,4,"HP37",10
-1.44174287035715,61.3105029150478,5,"HP37",10
-1.44014248624105,61.4002703358457,1,"HP38",10
-1.43853151619352,61.4900365403906,2,"HP38",10
-1.25076078009406,61.4891346284476,3,"HP38",10
-1.25291064162862,61.399371767377,4,"HP38",10
-1.44014248624105,61.4002703358457,5,"HP38",10
-1.43853151619352,61.4900365403906,1,"HP39",10
-1.43690986062623,61.5798015309128,2,"HP39",10
-1.24859665959871,61.5788962561938,3,"HP39",10
-1.25076078009406,61.4891346284476,4,"HP39",10
-1.43853151619352,61.4900365403906,5,"HP39",10
-1.26961181514868,60.6812242347524,1,"HP40",10
-1.26757137770351,60.7709970355929,2,"HP40",10
-1.08402770285808,60.7698703814258,3,"HP40",10
-1.08657948838285,60.6801016915201,4,"HP40",10
-1.26961181514868,60.6812242347524,5,"HP40",10
-1.26757137770351,60.7709970355929,1,"HP41",10
-1.26551769932212,60.8607685869107,2,"HP41",10
-1.08145935950472,60.8596377987771,3,"HP41",10
-1.08402770285808,60.7698703814258,4,"HP41",10
-1.26757137770351,60.7709970355929,5,"HP41",10
-1.26551769932212,60.8607685869107,1,"HP42",10
-1.26345065820679,60.9505388907065,2,"HP42",10
-1.07887430603181,60.94940394536,3,"HP42",10
-1.08145935950472,60.8596377987771,4,"HP42",10
-1.26551769932212,60.8607685869107,5,"HP42",10
